year,Title,Director,Cast,Country,Subgenre/Notes,
1959,The Manster,George Breakston,Peter Dyneley, ,[27],
1959,The Man Who Could Cheat Death,Terence Fisher,Anton Diffring, ,[nb 24],
1959,The Monster of Piedras Blancas,Irvin Berwick,Les Tremayne, ,,
1959,Monster on the Campus,Jack Arnold,Arthur Franz, ,[29],
1959,On the Beach,Stanley Kramer,Gregory Peck, ,,
1959,Plan 9 from Outer Space,Edward D. Wood Jr.,Bela Lugosi, ,,
1959,Return of the Fly,Edward Bernds,Vincent Price, ,,
1959,Space Invasion of Lapland,Virgil W. Vogel,Bengt Blomgren, ,,
1959,Teenagers from Outer Space,Tom Graeff,David Love , ,,
1959,The Wasp Woman,Roger Corman,Susan Cabot, ,,
1959,The World the Flesh and the Devil,Ranald MacDougall,Harry Belafonte, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1960,12 to the Moon,David Bradley,Ken Clark, ,[1],
1960,The Amazing Transparent Man,Edgar G. Ulmer,Marguerite Chapman, ,,
1960,The Angry Red Planet,Ib Melchior,Gerald Mohr, ,,
1960,Atomic War Bride,Veljko Bulajić,Antun Vrdoljak, ,[3],
1960,Beyond the Time Barrier,Edgar G. Ulmer,Robert Clarke, ,[4],
1960,Cape Canaveral Monsters The,Phil Tucker,Scott Peters, ,,
1960,Dinosaurus!,Irvin Yeaworth,Ward Ramsey, ,,
1960,Horrors of Spider Island,Fritz Böttger,Harald Maresch, ,,
1960,Human Vapor The,Ishirō Honda,Tatsuya Mihashi, ,,
1960,Last Woman on Earth,Roger Corman,Betsy Jones-Moreland, ,,
1960,Lost World The,Irwin Allen,Michael Rennie, ,Adventure,
1960,Man in the Moon,Basil Dearden,Kenneth More, ,[6],
1960,Mistress of the World,William Dieterle,Martha Hyer, ,,
1960,The Secret of the Telegian,Jun Fukuda,Kōji Tsuruta, ,,
1960,The Silent Star,Kurt Maetzig,Yoko Tani, ,,
1960,Space Men,Antonio Margheriti,Rik Van Nutter, ,,
1960,The Time Machine,George Pal,Rod Taylor, ,[nb 1],
1960,Visit to a Small Planet,Norman Taurog,Jerry Lewis, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1961,Atlantis the Lost Continent,George Pal,Sal Ponti, ,,
1961,The Absent-Minded Professor,Robert Stevenson,Fred MacMurray, ,,
1961,Battle of the Worlds,Antonio Margheriti,Claude Rains, ,,
1961,The Beast of Yucca Flats,Coleman Francis,Douglas Mellor, ,,
1961,A Bomb Was Stolen,Ion Popescu-Gopo,Iurie Darie, ,,
1961,The Day the Earth Caught Fire,Val Guest,Edward Judd, ,[nb 2],
1961,Doctor Blood's Coffin,Sidney J. Furie,Kieron Moore, ,,
1961,The Flight that Disappeared,Reginald Le Borg,Craig Hill, ,,
1961,Gorgo,Eugène Lourié,Bill Travers, ,,
1961,Invasion of the Neptune Men,Koji Ota,Sonny Chiba, ,,
1961,The Last War,Shūe Matsubayashi,Frankie Sakai, ,,
1961,Man in Outer Space,Oldřich Lipský,Miloš Kopecký, ,,
1961,The Man with the Lens,Frank Vogel,Rolf Ludwig, ,Comedy. German title: ,
1961,Master of the World,William Witney,Vincent Price, ,,
1961,The Most Dangerous Man Alive,Allan Dwan,Ron Randall, ,,
1961,Mothra,Ishirō Honda,Frankie Sakai, ,,
1961,Mysterious Island,Cy Endfield,Michael Craig, ,,
1961,The Phantom Planet,William Marshall,Dean Fredericks, ,,
1961,The Trip to Cosmatom,Manfred Gussmann,, ,Popular science film. German title: ,
1961,Voyage to the Bottom of the Sea,Irwin Allen,Walter Pidgeon, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1962,The Amphibian Man,Gennadiy Kazansky,Vladimir Korenev, ,,
1962,Creation of the Humanoids,Wesley Barry,Don Megowan, ,,
1962,The Day of the Triffids,Steve Sekely,Howard Keel, ,,
1962,Gorath,Ishirō Honda,Ryo Ikebe, ,,
1962,In Search of the Castaways,Robert Stevenson,Hayley Mills, ,,
1962,Invasion of the Star Creatures,Bruno VeSota,Bob Ball, ,,
1962,La jetée,Chris Marker,Jean Négroni, ,,
1962,Journey to the 7th Planet,Sidney Pink,John Agar, ,,
1962,King Kong vs. Godzilla,Ishirō Honda,Michael Keith, ,,
1962,The Manster,George Breakston,Peter Dyneley, ,[14],
1962,Moon Pilot,James Neilson,Tom Tryon, ,[16],
1962,Panic in Year Zero!,Ray Milland,Ray Milland, ,,
1962,Planeta Bur,Pavel Klushantsev,Vladimir Yemelyanov, ,[17],
1962,The Planets Against Us,Romano Ferrara,Michel Lemoine, ,[18],
1962,Varan the Unbelievable,,Myron Healey, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
