year,Title,Director,Cast,Country,Subgenre/Notes,
1997,Abre los ojos,Alejandro Amenábar,Eduardo Noriega, ,,
1997,Alien Resurrection,Jean-Pierre Jeunet,Sigourney Weaver, ,,
1997,Contact,Robert Zemeckis,Jodie Foster, ,[nb 16],
1997,Cube,Vincenzo Natali,Maurice Dean Wint, ,,
1997,Dark Planet,Albert Magnoli,Paul Mercurio, ,,
1997,Deathline,Tibor Takacs,Rutger Hauer, ,,
1997,The End of Evangelion,Hideaki Anno,, ,Anime,
1997,Event Horizon,Paul W. S. Anderson,Laurence Fishburne, ,,
1997,Face/Off,John Woo,John Travolta, ,,
1997,The Fifth Element,Luc Besson,Bruce Willis, ,,
1997,Full Metal Yakuza,Takashi Miike,, ,,
1997,Gattaca,Andrew Niccol,Ethan Hawke, ,,
1997,The Lost World: Jurassic Park,Steven Spielberg,Jeff Goldblum, ,,
1997,Men in Black,Barry Sonnenfeld,Tommy Lee Jones, ,[nb 17],
1997,Mimic,Guillermo del Toro,Mira Sorvino, ,,
1997,Nirvana,Gabriele Salvatores,Christopher Lambert, ,,
1997,The Postman,Kevin Costner,Kevin Costner, ,[nb 18],
1997,Spaceman,Scott Dikkers,David Ghilardi,,,
1997,Starship Troopers,Paul Verhoeven,Casper Van Dien, ,,
1997,The Sticky Fingers of Time,Hilary Brougher,Terumi Matthews, ,[48],
1997,Zone 39,John Tatoulis,Peter Phelps, ,[49],
year,Title,Director,Cast,Country,Subgenre/Notes,
1998,Andromedia,Takashi Miike,Hiroko Shimabukuro, ,,
1998,Armageddon,Michael Bay,Bruce Willis, ,[nb 19],
1998,Dark City,Alex Proyas,Rufus Sewell, ,[nb 20],
1998,Deep Impact,Mimi Leder,Robert Duvall, ,,
1998,Deep Rising,Stephen Sommers,Treat Williams, ,,
1998,Disturbing Behavior,David Nutter,James Marsden, ,,
1998,The Faculty,Robert Rodriguez,Clea DuVall, ,,
1998,Godzilla,Roland Emmerich,Matthew Broderick, ,
1998,Lost in Space,Stephen Hopkins,William Hurt, ,,
1998,Martian Successor Nadesico: The Motion Picture – Prince of Darkness,Tatsuo Satō,Yūji Ueda, ,,
1998,New Rose Hotel,Abel Ferrara,Christopher Walken, ,,
1998,Pi,Darren Aronofsky,Sean Gullette, ,[nb 22],
1998,Six-String Samurai,Lance Mungia,Jeffrey Falcon, ,,
1998,Skyggen,Thomas Borch Nielsen,Lars Bom, ,,
1998,Soldier,Paul W. S. Anderson,Kurt Russell, ,,
1998,Species II,Peter Medak,Michael Madsen, ,,
1998,Sphere,Barry Levinson,Dustin Hoffman, ,,
1998,Spriggan,Hirotsugu Kawasaki,, ,Anime,
1998,Star Kid,Manny Coto,Joseph Mazzello, ,,
1998,Star Trek: Insurrection,Jonathan Frakes,Patrick Stewart, ,,
1998,The Warlord: Battle for the Galaxy,Joe Dante,, ,,
1998,The X-Files,Rob Bowman,David Duchovny, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
1999,A.Li.Ce,Kenichi Maejima,, ,Animation,
1999,The Astronaut's Wife,Rand Ravich,Johnny Depp, ,,
1999,Barren Illusion,Kiyoshi Kurosawa,Shinji Takeda, ,[52],
1999,Beowulf,Graham Baker,Christopher Lambert, ,,
1999,Bicentennial Man,Chris Columbus,Robin Williams, ,,
1999,Deep Blue Sea,Renny Harlin,Thomas Jane, ,,
1999,Escape from Mars,Neill L. Fearnley,Christine Elise, ,,
1999,eXistenZ,David Cronenberg,Jennifer Jason Leigh, ,,
1999,Furia,Alexandre Aja,Stanislas Merhar, ,[53],
1999,Galaxy Quest,Dean Parisot,Tim Allen, ,[nb 23],
1999,Gamera 3: Awakening of Irys,Shusuke Kaneko,Shinobu Nakayama, ,,
1999,Godzilla 2000,Takao Okawara,Takehiro Murata, ,[54],
1999,The Iron Giant,Brad Bird,, ,Animation,
1999,The Matrix,The Wachowskis,Keanu Reeves, ,[nb 24],
1999,Muppets from Space,Tim Hill,Andie MacDowell, ,,
1999,My Favorite Martian,Donald Petrie,Jeff Daniels, ,,
1999,Peut-être,Cédric Klapisch,Romain Duris, ,Time travel,
1999,Progeny,Brian Yuzna,Arnold Vosloo, ,,
1999,Star Wars: Episode I – The Phantom Menace,George Lucas,Liam Neeson, ,[nb 25],
1999,The Thirteenth Floor,Josef Rusnak,Craig Bierko, ,,
1999,The Time Shifters,Mario Azzopardi,Casper Van Dien, ,,
1999,Universal Soldier: The Return,Mic Rodgers,Jean-Claude Van Damme, ,,
1999,Virus,John Bruno,Jamie Lee Curtis, ,,
1999,Wing Commander,Chris Roberts,Freddie Prinze Jr., ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
2000,The 6th Day,Roger Spottiswoode,Arnold Schwarzenegger, ,Action,
2000,Amazone,Philippe de Broca,Jean-Paul Belmondo, ,Adventure,
2000,Battlefield Earth,Roger Christian,John Travolta, ,Action,
2000,The Cell,Tarsem Singh,Jennifer Lopez, ,Psychological thriller,
2000,Escaflowne,Kazuki Akane,, ,Action ,
2000,Godzilla vs. Megaguirus,Masaaki Tezuka,Misako Tanaka, ,Monster movie,
2000,Happy Accidents,Brad Anderson,Marisa Tomei, ,Romantic,
2000,Hollow Man,Paul Verhoeven,Kevin Bacon, ,Action thriller,
2000,I.K.U.,Shu Lea Cheang,Aja, ,Adult film,
2000,The Last Man,Harry Ralston,David Arnott, ,Post apocalyptic,
2000,Mission to Mars,Brian De Palma,Gary Sinise, ,Adventure drama,
2000,Pitch Black,David N. Twohy,Radha Mitchell, ,Thriller,
2000,Possible Worlds,Robert Lepage,Tilda Swinton, ,Crime,
2000,Red Planet,Antony Hoffman,Val Kilmer, ,Action thriller,
2000,Space Cowboys,Clint Eastwood,Clint Eastwood, ,Action adventure,
2000,Supernova,Thomas Lee,James Spader, ,Horror,
2000,Titan A.E.,Don Bluth,Matt Damon, ,Animated adventure,
2000,What Planet Are You From?,Mike Nichols,Garry Shandling, ,Comedy,
2000,X-Men,Bryan Singer,Hugh Jackman, ,Action,
year,Title,Director,Cast,Country,Subgenre/Notes,
2001,A.I. Artificial Intelligence,Steven Spielberg,Haley Joel Osment, ,[18],
2001,Atlantis: The Lost Empire,Gary Trousdale,Michael J. Fox, ,[19],
2001,Avalon,Mamoru Oshii,Malgorzata Foremniak, ,[20],
2001,The American Astronaut,Cory McAbee,Rocco Sisto, ,[21],
2001,Donnie Darko,Richard Kelly,Jake Gyllenhaal, ,Psychological thriller,
2001,Electric Dragon 80.000 V,Sogo Ishii,Masatoshi Nagase, ,[22],
2001,Evolution,Ivan Reitman,David Duchovny, ,[23],
2001,Final,Campbell Scott,Denis Leary, ,[24],
2001,Final Fantasy: The Spirits Within,Hironobu Sakaguchi,, ,[25],
2001,Ghosts of Mars,John Carpenter,Ice Cube, ,[26],
2001,Godzilla Mothra and King Ghidorah: Giant Monsters All-Out Attack,Shusuke Kaneko,, ,[27],
2001,Jimmy Neutron: Boy Genius,John A. Davis,, ,Animation,
2001,Jurassic Park III,Joe Johnston,Sam Neill, ,[28],
2001,K-PAX,Iain Softley,Kevin Spacey, ,[29],
2001,The Lost Skeleton of Cadavra,Larry Blamire,Larry Blamire, ,[30],
2001,Metropolis,Rintaro,, ,[31],
2001,Mind Storm,Richard Pepin,Antonio Sabato Jr., ,[32],
2001,Nabi,Moon Seung-wook,Kim Ho-jung, ,[nb 4],
2001,The One,James Wong,Jet Li, ,[34],
2001,Planet of the Apes,Tim Burton,Mark Wahlberg, ,[nb 5],
2001,The Princess Blade,Shinsuke Sato,Hideaki Ito, ,[36],
2001,Replicant,Ringo Lam,Jean-Claude Van Damme, ,[37],
2001,Vanilla Sky,Cameron Crowe,Tom Cruise, ,[38],
year,Title,Director,Cast,Country,Subgenre/Notes,
2002,28 Days Later,Danny Boyle,Cillian Murphy, ,[39],
2002,2009 Lost Memories,Lee Si-myung,Jang Dong-gun, ,Action thriller,
2002,The Adventures of Pluto Nash,Ron Underwood,Eddie Murphy, ,Comedy,
2002,Clockstoppers,Jonathan Frakes,Jesse Bradford, ,[41],
2002,Cowboy Bebop: The Movie,Shinichiro Watanabe,, ,[42],
2002,Cube 2: Hypercube,Andrzej Sekuła,Kari Matchett, ,[43],
2002,Cypher,Vincenzo Natali,Jeremy Northam, ,[44],
2002,Dead or Alive: Final,Takashi Miike,Show Aikawa, ,[45],
2002,Eight Legged Freaks,Ellory Elkayem,David Arquette, ,[46],
2002,Equilibrium,Kurt Wimmer,Christian Bale, ,[47],
2002,Godzilla Against Mechagodzilla,Masaaki Tezuka,Yumiko Shaku, ,[48],
2002,Happy Here and Now,Michael Almereyda,Karl Geary, ,[49],
2002,Impostor,Gary Fleder,Gary Sinise, ,Action thriller,
2002,Jason X,James Isaac,Kane Hodder, ,[50],
2002,Men in Black II,Barry Sonnenfeld,Tommy Lee Jones, ,[51],
2002,Minority Report,Steven Spielberg,Tom Cruise, ,[nb 6],
2002,Project Viper,Jay Andrews,Theresa Russell, ,[53],
2002,Reign of Fire,Rob Bowman,Christian Bale, ,Action,
2002,Resident Evil,Paul W. S. Anderson,Milla Jovovich, ,Horror,
2002,Returner,Takashi Yamazaki,Takeshi Kaneshiro, ,[56],
2002,Rollerball,John McTiernan,Chris Klein, ,[57],
2002,S1m0ne,Andrew Niccol,Al Pacino, ,Comedy,
2002,Science Fiction,Danny Deprez,Wendy Van Dijk, ,[58],
2002,Scorcher,James Seale,Mark Dacascos, ,Action adventure,
2002,Signs,M. Night Shyamalan,Mel Gibson, ,[59],
2002,So Close,Corey Yuen,Shu Qi, ,Action,
2002,Solaris,Steven Soderbergh,George Clooney, ,[61],
2002,Spider-Man,Sam Raimi,Tobey Maguire, ,Fantasy,
2002,Star Trek: Nemesis,Stuart Baird,Patrick Stewart, ,[62],
2002,Star Wars: Episode II – Attack of the Clones,George Lucas,Ewan McGregor, ,[nb 8],
2002,Tamala 2010: A Punk Cat In Space,t. o. L.,, ,[64],
2002,Teknolust,Lynn Hershman Leeson,Tilda Swinton, ,[65],
2002,Treasure Planet,Ron Clements,Joseph Gordon-Levitt, ,[66],
2002,The Time Machine,Simon Wells,Guy Pearce, ,Time travel,
2002,Timequest,Robert Dyke,Caprice Benedetti, ,[67],
2002,Trancers 6,Jay Woelfel,Zette Sullivan, ,,
year,Title,Director,Cast,Country,Subgenre/Notes,
2003,2009: Lost Memories,Lee Si-Myung,Toru Nakamura, ,Action thriller,
2003,Absolon,David Barto,Christopher Lambert, ,Action thriller,
2003,Alien Hunter,Ron Krauss,James Spader, ,Action thriller,
2003,The Big Empty,Steve Anderson,Jon Favreau, ,Mystery comedy,
2003,Code 46,Michael Winterbottom,Tim Robbins, ,Romance,
2003,The Core,Jon Amiel,Aaron Eckhart, ,Disaster film,
2003,Dragon Head,Jôji Iida,Satoshi Tsumabuki, ,Mystery drama,
2003,Dreamcatcher,Lawrence Kasdan,Morgan Freeman, ,Horror drama,
2003,Godzilla: Tokyo SOS,Masaaki Tezuka,Noboru Kaneko, ,Giant Monster Film,
2003,Good Boy!,John Hoffman,Molly Shannon, ,Family comedy drama,
2003,Hulk,Ang Lee,Eric Bana, ,Superhero,
2003,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,Kazuhisa Takenouchi,, ,Anime,
2003,It's All About Love,Thomas Vinterberg,Joaquin Phoenix, ,Apocalyptic,
2003,Koi... Mil Gaya,Rakesh Roshan,Hrithik Roshan, ,Hindi film,
2003,The Matrix Reloaded,Andy Wachowski,Keanu Reeves, ,Action adventure,
2003,The Matrix Revolutions,Andy Wachowski,Keanu Reeves, ,Action adventure,
2003,Mimic 3: Sentinel,J. T. Petty,Karl Geary, ,Horror,
2003,Moon Child,Takahisa Zeze,Gackt Camui, ,Action drama,
2003,Natural City,Min Byeong-cheon,Yoo Ji-tae, ,Action drama,
2003,Paycheck,John Woo,Ben Affleck, ,[nb 9],
2003,Robot Stories,Greg Pak,Tamlyn Tomita, ,Indie drama,
2003,Save the Green Planet!,Jang Joon-hwan,Shin Ha-kyun, ,Comedy horror thriller,
2003,Terminator 3: Rise of the Machines,Jonathan Mostow,Arnold Schwarzenegger, ,Action,
2003,Timeline,Richard Donner,Paul Walker, ,Fantasy,
2003,Undead,Michael Spierig,Felicity Mason, ,Zombie horror comedy,
2003,Wonderful Days,Sunmin Park,, ,Animation,
2003,WXIII: Patlabor the Movie 3,,, ,Anime,
2003,X2,Bryan Singer,Patrick Stewart, ,[nb 10],
year,Title,Director,Cast,Country,Subgenre/Notes,
2004,Wong Kar-wai,Tony Leung Chiu-Wai, ,Romantic drama,
2004,After the Apocalypse,Yasuaki Nakajima,, ,[68],
2004,Alien vs. Predator,Paul W. S. Anderson,Sanaa Lathan, ,Action thriller,
2004,Appleseed,Shinji Aramaki,, ,Anime,
2004,The Butterfly Effect,Eric Bress,Ashton Kutcher, ,Psychological thriller,
2004,Casshern,Kiriya Kazuaki,Yusuke Iseya, ,Action,
2004,The Chronicles of Riddick,David N. Twohy,Vin Diesel, ,Action adventure,
2004,Cube Zero,Ernie Barbarash,Zachary Bennett, ,Horror,
2004,The Day After Tomorrow,Roland Emmerich,Dennis Quaid, ,Disaster film,
2004,Dead Leaves,Hiroyuki Imaishi,, ,Anime,
2004,Decoys,Matthew Hastings,Meghan Ory, ,Horror,
2004,District 13,Pierre Morel,David Belle, ,Action,
2004,Eternal Sunshine of the Spotless Mind,Michel Gondry,Jim Carrey, ,Romantic comedy,
2004,FAQ: Frequently Asked Questions,Carlos Atanes,Xavier Tort, ,Dystopia,
2004,The Final Cut,Omar Naim,Robin Williams, ,Thriller,
2004,The Forgotten,Joseph Ruben,Julianne Moore, ,Psychological thriller,
2004,Godsend,Nick Hamm,Greg Kinnear, ,Horror,
2004,Godzilla: Final Wars,Ryuhei Kitamura,Masahiro Matsuoka, ,Kaiju,
2004,G.O.R.A.,Ömer Faruk Sorak,Cem Yılmaz, ,Comedy,
2004,I Robot,Alex Proyas,Will Smith, ,Action mystery,
2004,Immortel (ad vitam),Enki Bilal,Charlotte Rampling, ,Crime,
2004,Innocence: Ghost in the Shell,Mamoru Oshii,, ,Anime,
2004,Night Watch,Timur Bekmambetov,Konstantin Khabensky, ,Horror,
2004,Paranoia 1.0,Jeff Renfroe,Jeremy Sisto, ,Cyberpunk,
2004,Phil the Alien,Rob Stefaniuk,Rob Stefaniuk, ,Comedy,
2004,The Place Promised in Our Early Days,Makoto Shinkai,, ,Anime,
2004,Post Impact,Christoph Schrewe,Dean Cain, ,Post-Impact,
2004,Primer,Shane Carruth,Shane Carruth, ,Drama ,
2004,Resident Evil: Apocalypse,Alexander Witt,Milla Jovovich, ,Horror,
2004,Six: The Mark Unleashed,Kevin Downes,Stephen Baldwin, ,Action drama,
2004,Sky Captain and the World of Tomorrow,Kerry Conran,Gwyneth Paltrow, ,Pulp adventure,
2004,Spider-Man 2,Sam Raimi,Tobey Maguire, ,Superhero,
2004,The Stepford Wives,Frank Oz,Nicole Kidman, ,Black comedy,
2004,Thunderbirds,Jonathan Frakes,Bill Paxton, ,Adventure,
year,Title,Director,Cast,Country,Subgenre/Notes,
2005,Æon Flux,Karyn Kusama,Charlize Theron, ,Action thriller,
2005,Allegro,Christoffer Boe,Ulrich Thomsen, ,Romantic drama,
2005,Alien Abduction,Eric Forsberg,Megan Lee Ethridge, ,[69],
2005,The Cave,Bruce Hunt,Cole Hauser, ,Horror,
2005,Chicken Little,Mark Dindal,, ,Animated family comedy,
2005,The Dark Hours,Paul Fox,Kate Greenhouse, ,Psychological thriller,
2005,Doom,Andrzej Bartkowiak,Karl Urban, ,Horror,
2005,Evil Aliens,Jake West,Emily Booth, ,Horror comedy,
2005,Fantastic Four,Tim Story,Ioan Gruffudd, ,Superhero,
2005,Final Fantasy VII Advent Children,Tetsuya Nomura,, ,Animation,
2005,The Girl from Monday,Hal Hartley,Bill Sage, ,Comedy,
2005,Headspace,Andrew van den Houten,Olivia Hussey, ,Horror mystery,
2005,H.G. Wells' The War of the Worlds,Timothy Hines,, ,Action drama,
2005,The Hitchhiker's Guide to the Galaxy,Garth Jennings,Martin Freeman, ,Comedy,
2005,The Island,Michael Bay,Ewan McGregor, ,Thriller,
2005,The Jacket,John Maybury,Adrien Brody, ,Psychological thriller,
2005,Man with the Screaming Brain,Bruce Campbell,Bruce Campbell, ,Slapstick,
2005,Meatball Machine,Yūdai Yamaguchi,Issei Takahashi, ,[70],
2005,Planetfall,Michael J. Heagle,Leitha Matz, ,[71],
2005,Puzzlehead,James Bai,Stephen Galaida, ,Drama,
2005,Robots,Chris Wedge,, ,Animation,
2005,Serenity,Joss Whedon,Nathan Fillion, ,[nb 13],
2005,Slipstream,David Van Eyssen,Vinnie Jones, ,Time travel,
2005,A Sound of Thunder,Peter Hyams,Edward Burns, ,Time travel adventure,
2005,Star Wars: Episode III – Revenge of the Sith,George Lucas,Ewan McGregor, ,[nb 14],
2005,Stealth,Rob Cohen,Josh Lucas, ,Action,
2005,Steamboy,Katsuhiro Otomo,, ,Anime,
2005,War of the Worlds,Steven Spielberg,Tom Cruise, ,Alien invasion,
2005,The Wild Blue Yonder,Werner Herzog,Brad Dourif, ,Documentary mashup,
2005,Zathura: A Space Adventure,Jon Favreau,Jonah Bobo, ,Fantasy adventure,
year,Title,Director,Cast,Country,Subgenre/Notes,
2006,A Scanner Darkly,Richard Linklater,Keanu Reeves, ,Animation crime-drama,
2006,Aachi & Ssipak,Joe Bum-Jim,, ,Animation,
2006,AINOA,Marco Kalantari,Simon Licht, ,Action Adventure,
2006,Alien Autopsy,Jonny Campbell,Ant McPartlin, ,Comedy,
2006,Altered,Eduardo Sanchez,Paul McCarthy Boyington, ,Horror,
2006,Aziris Nuna,Oleg Kompasov,Aleksandr Filippenko, ,[73],
2006,Children of Men,Alfonso Cuarón,Clive Owen, ,[nb 15],
2006,The Cloud,Gregor Schnitzler,Paula Kalenberg, ,German title: ,
2006,Daft Punk's Electroma,Daft Punk,Peter Hurteau, ,Drama,
2006,The Dark Hour,Elio Quiroga,Silke Hornillos Klein, ,Horror mystery,
2006,Day Watch,Timur Bekmambetov,Konstantin Khabensky, ,Action fantasy,
2006,Déjà Vu,Tony Scott,Denzel Washington, ,Action crime-thriller,
2006,Displaced,Martin Holland,Mark Strange, ,Action adventure,
2006,Evil Behind You,Jim Carroll,Hilary Kennedy, ,Horror,
2006,The Fountain,Darren Aronofsky,Hugh Jackman, ,Romantic drama,
2006,Gamera the Brave,Ryuta Tasaki,Ryo Tomioka, ,Kaiju,
2006,The Girl Who Leapt Through Time,Mamoru Hosoda,Riisa Naka, ,Anime,
2006,The Host,Bong Joon-ho,Song Kang-ho, ,Monster,
2006,Idiocracy,Mike Judge,Luke Wilson, ,Satirical comedy,
2006,Japan Sinks,Shinji Higuchi,Tsuyoshi Kusanagi, ,Japanese title: Nihon Chinbotsu. Adventure drama,
2006,The Kovak Box,Daniel Monzón,Timothy Hutton, ,Mystery thriller,
2006,Krrish,Rakesh Roshan,Hrithik Roshan, ,Hindi superhero film,
2006,Lifted,Gary Rydstrom,, ,Animation,
2006,Paprika,Satoshi Kon,, ,Anime,
2006,The Ugly Swans,Konstantin Lopushansky,Catherine Dussart, ,triller,
2006,Renaissance,Christian Volckman,, ,Animation,
2006,Southland Tales,Richard Kelly,Dwayne Douglas Johnson, ,Dark comedy drama,
2006,Slither,James Gunn,Nathan Fillion, ,[nb 16],
2006,Superman Returns,Bryan Singer,Brandon Routh, ,Superhero,
2006,Ultraviolet,Kurt Wimmer,Milla Jovovich, ,Action,
2006,Unidentified,Rich Christiano,Jonathan Aube, ,Supernatural,
2006,V for Vendetta,James McTeigue,Natalie Portman, ,[nb 17],
2006,X-Men: The Last Stand,Brett Ratner,Hugh Jackman, ,[nb 18],
2006,Zerophilia,Martin Curland,Taylor Handley, ,Romantic comedy,
year,Title,Director,Cast,Country,Subgenre/Notes,
2007,Aliens vs. Predator: Requiem,Greg Strause,Reiko Aylesworth, ,Action horror,
2007,Appleseed Ex Machina,Shinji Aramaki,, ,Anime,
2007,28 Weeks Later,Juan Carlos Fresnadillo,Robert Carlyle, ,Post-apocalyptic horror,
2007,Big Man Japan,Hitoshi Matsumoto,Hitoshi Matsumoto, ,Comedy,
2007,Chrysalis,Julien Leclercq,Albert Dupontel, ,Crime drama,
2007,Eden Log,Franck Vestiel,Clovis Cornillac, ,Horror mystery,
2007,Fantastic Four: Rise of the Silver Surfer,Tim Story,Ioan Gruffudd, ,Action adventure,
2007,Flatland The Film,Ladd Ehlinger Jr.,, ,Animation,
2007,I Am Legend,Francis Lawrence,Will Smith, ,[nb 19],
2007,Illegal Aliens,David Giancola,Joanie "Chyna" Laurer, ,Comedy,
2007,The Invasion,Oliver Hirschbiegel,Nicole Kidman, ,Thriller,
2007,The Last Mimzy,Bob Shaye,Chris O'Neil , ,Family adventure,
2007,Meet the Robinsons,Stephen Anderson,, ,Animation,
2007,The Mist,Frank Darabont,Thomas Jane, ,Horror,
2007,Next,Lee Tamahori,Nicolas Cage, ,Action thriller,
2007,Paragraf 78 Punkt 1,Mikhail Khleborodov,, ,[75],
2007,Resident Evil: Extinction,Russell Mulcahy,Milla Jovovich, ,Action horror,
2007,Sex and Death 101,Daniel Waters,Simon Baker, ,Dark Comedy,
2007,Spider-Man 3,Sam Raimi,Tobey Maguire, ,[76],
2007,Sunshine,Danny Boyle,Cillian Murphy, ,Thriller,
2007,Timecrimes,Nacho Vigalondo,Karra Elejalde, ,Time-travel mystery,
2007,TMNT,Kevin Munroe,Chris Evans, ,Animation,
2007,Transformers,Michael Bay,Shia LaBeouf, ,Action thriller,
2007,The Man from Earth,,John Billingsley, ,Drama,
2007,Underdog,Frederik Du Chau,Jason Lee, ,Animation,
2007,Vexille,Fumihiko Sori,, ,Anime,
year,Title,Director,Cast,Country,Subgenre/Notes,
2008,20th Century Boys,Yukihiko Tsutsumi,Toshiaki Karasawa, ,,
2008,Alien Raiders,Ben Rock,Carlos Bernard, ,Horror,
2008,Babylon A.D.,Mathieu Kassovitz,Vin Diesel, ,Action adventure,
2008,Blindness,Fernando Meirelles,Julianne Moore, ,[,
2008,City of Ember,Gil Kenan,Saoirse Ronan, ,Fantasy adventure,
2008,CJ7,Stephen Chow,Stephen Chow, ,Comedy,
2008,The Clone Returns Home,Kanji Nakajima,Mitsuhiro Oikawa, ,,
2008,Cloverfield,Matt Reeves,Michael Stahl-David, ,Monster movie,
2008,Cyborg Soldier,John Stead,Rich Franklin, ,,
2008,Dante 01,Marc Caro,Lambert Wilson, ,Thriller,
2008,Dasavathaaram,K.S.Ravikumar,Kamal Hassan, ,Action disaster,
2008,The Day the Earth Stood Still,Scott Derrickson,Keanu Reeves, ,Drama thriller,
2008,Death Race,Paul W. S. Anderson,Jason Statham, ,Action,
2008,Doomsday,Neil Marshall,Rhona Mitra, ,Action thriller,
2008,Far Cry,Uwe Boll,Til Schweiger, ,Action adventure,
2008,Franklyn,Gerald McMorrow,Ryan Phillippe, ,Fantasy drama,
2008,The Happening,M. Night Shyamalan,Mark Wahlberg, ,Thriller,
2008,The Inhabited Island,Fyodor Bondarchuk,Sergei Barkovsky, ,Action adventure,
2008,The Incredible Hulk,Louis Leterrier,Edward Norton, ,Superhero,
2008,Iron Man,Jon Favreau,Robert Downey Jr., ,Superhero,
2008,Jumper,Doug Liman,Hayden Christensen, ,Action adventure,
2008,Love Story 2050,Harry Baweja,Priyanka Chopra, ,Action drama,
2008,Meet Dave,Brian Robbins,Eddie Murphy, ,Family comedy,
2008,The Mutant Chronicles,Simon Hunter,Thomas Jane, ,Action horror,
2008,Outlander,Howard McCain,James Caviezel, ,Action adventure,
2008,Próxima,Carlos Atanes,Oriol Aubets, ,Underground,
2008,Sleep Dealer,Alex Rivera,Luis Fernando Peña, ,Cyberpunk,
2008,Star Wars: The Clone Wars,Dave Filoni,Matt Lanter, ,Animation,
2008,Tokyo Gore Police,Yoshihiro Nishimura,Eihi Shiina, ,Gore,
2008,WALL-E,Andrew Stanton,Ben Burtt, ,Animation,
2008,The X-Files: I Want to Believe,Chris Carter,David Duchovny, ,Thriller,
year,Title,Director,Cast,Country,Subgenre/Notes,
2009,20th Century Boys 2: The Last Hope,Yukihiko Tsutsumi,Toshiaki Karasawa, ,,
2009,20th Century Boys 3: Redemption,Yukihiko Tsutsumi,Naoto Takenaka, ,,
2009,Roland Emmerich,John Cusack, ,Disaster,
2009,Shane Acker,Elijah Wood, ,Animation,
2009,Alien Trespass,R. W. Goodwin,Eric McCormack, ,Comedy,
2009,Astroboy,David Bowers,Nicolas Cage, ,Animated,
2009,Avatar,James Cameron,Sam Worthington, ,Action adventure,
2009,Battle for Terra,Keith Calder,Brian Cox, ,Animated action,
2009,The Box,Richard Kelly,Cameron Diaz, ,Psychological horror,
2009,Cargo,Ivan Engler,Anna-Katharina Schwabroh, ,Mystery thriller,
2009,District 9,Neill Blomkamp,Jason Cope, ,Thriller,
2009,Frequently Asked Questions About Time Travel,Gareth Carrivick,Chris O'Dowd, ,Comedy,
2009,Gamer,Mark Neveldine,Gerard Butler, ,Thriller,
2009,G.I. Joe: The Rise of Cobra,Stephen Sommers,Channing Tatum, ,Action,
2009,Kenny Begins,Carl Åstrand,Johan Rheborg, ,Comedy,
2009,Knowing,Alex Proyas,Nicolas Cage, ,Disaster thriller,
2009,Land of the Lost,Brad Silberling,Will Ferrell, ,Comedy,
2009,Metropia,Tarik Saleh,Vincent Gallo, ,Animation,
2009,Mock-Up on Mu,Craig Baldwin,Stoney Burke, ,Comedy,
2009,Monsters vs. Aliens,Conrad Vernon,Reese Witherspoon, ,Animated comedy,
2009,Moon,Duncan Jones,Sam Rockwell, ,Drama,
2009,Mr. Nobody,Jaco Van Dormael,Jared Leto, ,Fantasy drama,
2009,Pandorum,Christian Alvart,Dennis Quaid, ,Action thriller,
2009,Planet 51,Jorge Blanco,Dwayne Johnson, ,Animation,
2009,Push,Paul McGuigan,Chris Evans, ,Action thriller,
2009,Race to Witch Mountain,Andy Fickman,Dwayne Johnson, ,Adventure,
2009,Redline,Takeshi Koike,Takuya Kimura, ,Anime,
2009,Robo-geisha,Noboru Iguchi,, ,Action,
2009,Screamers: The Hunting,Sheldon Wilson,Gina Holden, ,Horror,
2009,Space Battleship Yamato: Resurrection,,, ,Anime,
2009,Splice,Vincenzo Natali,Adrien Brody, ,Horror,
2009,Star Trek,J. J. Abrams,Chris Pine, ,Action adventure,
2009,Stingray Sam,Cory McAbee,Cory McAbee, ,Musical western comedy,
2009,Surrogates,Jonathan Mostow,Bruce Willis, ,Action,
2009,Terminator Salvation,McG,Christian Bale, ,Action,
2009,Tetsuo: The Bullet Man,Shinya Tsukamoto,Eric Bossick, ,Cyberpunk action,
2009,The Time Traveler's Wife,Robert Schwentke,Eric Bana, ,Time travel mystery drama,
2009,Transformers: Revenge of the Fallen,Michael Bay,Shia LaBeouf, ,Action thriller,
2009,Watchmen,Zack Snyder,Jackie Earle Haley, ,Superhero,
year,Title,Director,Cast,Country,Subgenre/Notes,
2010,Altitude,Kaare Andrews,Jessica Lowndes, ,Horror,
2010,Alien vs Ninja,Seiji Chiba,Shuuji Kashiwabara, ,Action,
2010,Arctic Blast,Brian Trenchard-Smith,Michael Shanks, ,Disaster,
2010,Beyond the Black Rainbow,Panos Cosmatos,Michael Rogers, ,Mystery,
2010,The Book of Eli,Albert Hughes,Denzel Washington, ,Post-apocalyptic,
2010,The Crazies,Breck Eisner,Timothy Olyphant, ,Horror,
2010,Daybreakers,Peter Spierig,Ethan Hawke, ,Vampire,
2010,Denizen,J.A. Steel,J.A. Steel, ,Action horror,
2010,Despicable Me,Pierre Coffin,Steve Carell, ,Family-oriented animated comedy,
2010,The Disappearance of Haruhi Suzumiya,Tatsuya Ishihara,Aya Hirano, ,Anime,
