x-coordinate,y-coordinate,Similarity_score
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.9906120531472161
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9862985865656798
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.993633552403663
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9830429204425861
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.9954469217940671
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9935500935962127
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9970025083958336
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.905826731085009
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9961606133822156
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9982228960028658
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9959136411199879
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.990447419464151
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9944915731284132
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRural,0.9943938736575599
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9973296475266075
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteTRUESci-fiFalseisRuralTrue,0.9943545560011199
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralFalse,0.9988041114117883
MeteoriteFALSESci-fiFalseisRuralTrue,MeteoriteFALSESci-fiFalseisRuralTrue,0.9978223746963029
